5742,Abohar,2728
5743,Adampur,2728
5744,Ahmedgarh,2728
5745,Ajnala,2728
5746,Akalgarh,2728
5747,Alawalpur,2728
5748,Amloh,2728
5749,Amritsar,2728
5750,Amritsar Cantonment,2728
5751,Anandpur Sahib,2728
5752,Badhni Kalan,2728
5753,Bagh Purana,2728
5754,Balachaur,2728
5755,Banaur,2728
5756,Banga,2728
5757,Banur,2728
5758,Baretta,2728
5759,Bariwala,2728
5760,Barnala,2728
5761,Bassi Pathana,2728
5762,Batala,2728
5763,Bathinda,2728
5764,Begowal,2728
5765,Behrampur,2728
5766,Bhabat,2728
5767,Bhadur,2728
5768,Bhankharpur,2728
5769,Bharoli Kalan,2728
5770,Bhawanigarh,2728
5771,Bhikhi,2728
5772,Bhikhiwind,2728
5773,Bhisiana,2728
5774,Bhogpur,2728
5775,Bhuch,2728
5776,Bhulath,2728
5777,Budha Theh,2728
5778,Budhlada,2728
5779,Chima,2728
5780,Chohal,2728
5781,Dasuya,2728
5782,Daulatpur,2728
5783,Dera Baba Nanak,2728
5784,Dera Bassi,2728
5785,Dhanaula,2728
5786,Dharam Kot,2728
5787,Dhariwal,2728
5788,Dhilwan,2728
5789,Dhuri,2728
5790,Dinanagar,2728
5791,Dirba,2728
5792,Doraha,2728
5793,Faridkot,2728
5794,Fateh Nangal,2728
5795,Fatehgarh Churian,2728
5796,Fatehgarh Sahib,2728
5797,Fazilka,2728
5798,Firozpur,2728
5799,Firozpur Cantonment,2728
5800,Gardhiwala,2728
5801,Garhshankar,2728
5802,Ghagga,2728
5803,Ghanaur,2728
5804,Giddarbaha,2728
5805,Gobindgarh,2728
5806,Goniana,2728
5807,Goraya,2728
5808,Gurdaspur,2728
5809,Guru Har Sahai,2728
5810,Hajipur,2728
5811,Handiaya,2728
5812,Hariana,2728
5813,Hoshiarpur,2728
5814,Hussainpur,2728
5815,Jagraon,2728
5816,Jaitu,2728
5817,Jalalabad,2728
5818,Jalandhar,2728
5819,Jalandhar Cantonment,2728
5820,Jandiala,2728
5821,Jugial,2728
5822,Kalanaur,2728
5823,Kapurthala,2728
5824,Karoran,2728
5825,Kartarpur,2728
5826,Khamanon,2728
5827,Khanauri,2728
5828,Khanna,2728
5829,Kharar,2728
5830,Khem Karan,2728
5831,Kot Fatta,2728
5832,Kot Isa Khan,2728
5833,Kot Kapura,2728
5834,Kotkapura,2728
5835,Kurali,2728
5836,Lalru,2728
5837,Lehra Gaga,2728
5838,Lodhian Khas,2728
5839,Longowal,2728
5840,Ludhiana,2728
5841,Machhiwara,2728
5842,Mahilpur,2728
5843,Majitha,2728
5844,Makhu,2728
5845,Malaut,2728
5846,Malerkotla,2728
5847,Maloud,2728
5848,Mandi Gobindgarh,2728
5849,Mansa,2728
5850,Maur,2728
5851,Moga,2728
5852,Mohali,2728
5853,Moonak,2728
5854,Morinda,2728
5855,Mukerian,2728
5856,Muktsar,2728
5857,Mullanpur Dakha,2728
5858,Mullanpur Garibdas,2728
5859,Munak,2728
5860,Muradpura,2728
5861,Nabha,2728
5862,Nakodar,2728
5863,Nangal,2728
5864,Nawashahr,2728
5865,Naya Nangal,2728
5866,Nehon,2728
5867,Nurmahal,2728
5868,Pathankot,2728
5869,Patiala,2728
5870,Patti,2728
5871,Pattran,2728
5872,Payal,2728
5873,Phagwara,2728
5874,Phillaur,2728
5875,Qadian,2728
5876,Rahon,2728
5877,Raikot,2728
5878,Raja Sansi,2728
5879,Rajpura,2728
5880,Ram Das,2728
5881,Raman,2728
5882,Rampura,2728
5883,Rayya,2728
5884,Rupnagar,2728
5885,Rurki Kasba,2728
5886,Sahnewal,2728
5887,Samana,2728
5888,Samrala,2728
5889,Sanaur,2728
5890,Sangat,2728
5891,Sangrur,2728
5892,Sansarpur,2728
5893,Sardulgarh,2728
5894,Shahkot,2728
5895,Sham Churasi,2728
5896,Shekhpura,2728
5897,Sirhind,2728
5898,Sri Hargobindpur,2728
5899,Sujanpur,2728
5900,Sultanpur Lodhi,2728
5901,Sunam,2728
5902,Talwandi Bhai,2728
5903,Talwara,2728
5904,Tappa,2728
5905,Tarn Taran,2728
5906,Urmar Tanda,2728
5907,Zira,2728
5908,Zirakpur,2728
31273,Barkhan,2723
31274,Bela,2723
31275,Bhag,2723
31276,Chaman,2723
31277,Chitkan,2723
31278,Dalbandin,2723
31279,Dera Allah Yar,2723
31280,Dera Bugti,2723
31281,Dera Murad Jamali,2723
31282,Dhadar,2723
31283,Duki,2723
31284,Gaddani,2723
31285,Gwadar,2723
31286,Harnai,2723
31287,Hub,2723
31288,Jiwani,2723
31289,Kalat,2723
31290,Kharan,2723
31291,Khuzdar,2723
31292,Kohlu,2723
31293,Loralai,2723
31294,Mach,2723
31295,Mastung,2723
31296,Nushki,2723
31297,Ormara,2723
31298,Pasni,2723
31299,Pishin,2723
31300,Quetta,2723
31301,Sibi,2723
31302,Sohbatpur,2723
31303,Surab,2723
31304,Turbat,2723
31305,Usta Muhammad,2723
31306,Uthal,2723
31307,Wadh,2723
31308,Winder,2723
31309,Zehri,2723
31310,Zhob,2723
31311,Ziarat,2723
31312,Abdul Hakim,2728
31313,Ahmadpur East,2728
31314,Ahmadpur Lumma,2728
31315,Ahmadpur Sial,2728
31316,Ahmedabad,2728
31317,Alipur,2728
31318,Alipur Chatha,2728
31319,Arifwala,2728
31320,Attock,2728
31321,Baddomalhi,2728
31322,Bagh,2728
31323,Bahawalnagar,2728
31324,Bahawalpur,2728
31325,Bai Pheru,2728
31326,Basirpur,2728
31327,Begowala,2728
31328,Bhakkar,2728
31329,Bhalwal,2728
31330,Bhawana,2728
31331,Bhera,2728
31332,Bhopalwala,2728
31333,Burewala,2728
31334,Chak Azam Sahu,2728
31335,Chak Jhumra,2728
31336,Chak Sarwar Shahid,2728
31337,Chakwal,2728
31338,Chawinda,2728
31339,Chichawatni,2728
31340,Chiniot,2728
31341,Chishtian Mandi,2728
31342,Choa Saidan Shah,2728
31343,Chuhar Kana,2728
31344,Chunian,2728
31345,Dajal,2728
31346,Darya Khan,2728
31347,Daska,2728
31348,Daud Khel,2728
31349,Daultala,2728
31350,Dera Din Panah,2728
31351,Dera Ghazi Khan,2728
31352,Dhanote,2728
31353,Dhonkal,2728
31354,Dijkot,2728
31355,Dina,2728
31356,Dinga,2728
31357,Dipalpur,2728
31358,Dullewala,2728
31359,Dunga Bunga,2728
31360,Dunyapur,2728
31361,Eminabad,2728
31362,Faisalabad,2728
31363,Faqirwali,2728
31364,Faruka,2728
31365,Fateh Jang,2728
31366,Fatehpur,2728
31367,Fazalpur,2728
31368,Ferozwala,2728
31369,Fort Abbas,2728
31370,Garh Maharaja,2728
31371,Ghakar,2728
31372,Ghurgushti,2728
31373,Gojra,2728
31374,Gujar Khan,2728
31375,Gujranwala,2728
31376,Gujrat,2728
31377,Hadali,2728
31378,Hafizabad,2728
31379,Harnoli,2728
31380,Harunabad,2728
31381,Hasan Abdal,2728
31382,Hasilpur,2728
31383,Haveli,2728
31384,Hazro,2728
31385,Hujra Shah Muqim,2728
31386,Isa Khel,2728
31387,Jahanian,2728
31388,Jalalpur Bhattian,2728
31389,Jalalpur Jattan,2728
31390,Jalalpur Pirwala,2728
31391,Jalla Jeem,2728
31392,Jamke Chima,2728
31393,Jampur,2728
31394,Jand,2728
31395,Jandanwala,2728
31396,Jandiala Sherkhan,2728
31397,Jaranwala,2728
31398,Jatoi,2728
31399,Jauharabad,2728
31400,Jhang,2728
31401,Jhawarian,2728
31402,Jhelum,2728
31403,Kabirwala,2728
31404,Kahna Nau,2728
31405,Kahror Pakka,2728
31406,Kahuta,2728
31407,Kalabagh,2728
31408,Kalaswala,2728
31409,Kaleke,2728
31410,Kalur Kot,2728
31411,Kamalia,2728
31412,Kamar Mashani,2728
31413,Kamir,2728
31414,Kamoke,2728
31415,Kamra,2728
31416,Kanganpur,2728
31417,Karampur,2728
31418,Karor Lal Esan,2728
31419,Kasur,2728
31420,Khairpur Tamewali,2728
31421,Khanewal,2728
31422,Khangah Dogran,2728
31423,Khangarh,2728
31424,Khanpur,2728
31425,Kharian,2728
31426,Khewra,2728
31427,Khundian,2728
31428,Khurianwala,2728
31429,Khushab,2728
31430,Kot Abdul Malik,2728
31431,Kot Addu,2728
31432,Kot Mithan,2728
31433,Kot Moman,2728
31434,Kot Radha Kishan,2728
